Word	Lemma	Part of Speech	Gloss
Hunum	Hunas	dpn	The Huns
ond	ond	conj	and
mid	mid	prep	with
Hreðgotum,	Hreðgotan	dpn	Ostrogoths
mid	mid	prep	with
Sweom	Sweon	dpn	Swedes
ond	ond	conj	and
mid	mid	prep	with
Geatum	Gēatas	dpn	the Geats
ond	ond	conj	and
mid	mid	prep	with
Suþ-denum.	Suþ-dene	dpn	the south-Danes
mid	mid	prep	with
Wenlum	Wenlas	dpn	Wenlas
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Wærnum	Wærne	dpn	the Varni
ond	ond	conj	and
mid	mid	prep	with
wicingum.	Wicingas	dpn	the Wicings
mid	mid	prep	with
Gefþum	Gefþan	dpn	The Gepids
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Winedum	Winedas	dpn	Winedas
ond	ond	conj	and
mid	mid	prep	with
Gefflegum.	Gefflēgan	dsn	The Gefflegans
mid	mid	prep	with
Englum	Engle	dpn	the Angles
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Swæfum	Swæfe	dpn	Swæfe
ond	ond	conj	and
mid	mid	prep	with
Ænēnum.	Ænēnas	dpn	Ænēnas
mid	mid	prep	with
Seaxum	Seaxan	dpn	the Saxons
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
Sycgum	Sycga	dpn	the Sycgans
ond	ond	conj	and
mid	mid	prep	with
Sweordwerum.	Sweordwere	dpn	Suardones
mid	mid	prep	with
Hronum	Hronan	dpn	Hronan
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Deanum	Dēan	dpn	Deans
ond	ond	conj	and
mid	mid	prep	with
Heaþoreamum.	Heaþoreamas	dpn	HeaÞoramas
mid	mid	prep	with
Þyringum	Þyringas	dpn	the Thuringians
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Þrowendum,	Þrowend	dpn	Þrowend
ond	ond	conj	and
mid	mid	prep	with
Burgendum,	Burgendan	ipn	the Burgundians
þǣr	þǣr	adv	there
ic	ic	pn	I
bēag	bēag	asn	necklace
geþah;	geþicgan	pret.sv	receive
me	me	dsppn	me
þǣr	þǣr	adv	there
Guðhere	Guðhere	nsn	Guðhere
forgeaf	forgiefan	pret.sv	gave
glædlicne	glædlic	adj	goodly
māþþum	māþþum	asn	treasure
songes	song	gsn	song
to	to	prep	to
lēane.	lēan	dsn	reward
Næs	wesan	psv	was not
þǣt	þǣt	nsn	that
sǣne	sǣne	adj	stingy
cyning!	cyning	nsn	king
mid	mid	prep	with
Froncum	Froncan	ipn	the Franks
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Frysum	Frēsan	dpn	the Frisians
ond	ond	conj	and
mid	mid	prep	with
Frumtingum.	Frumtingas	dpn	the Framtings
mid	mid	prep	with
Rugum	Rugas	dpn	the Rugi
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Glommum	Glomman	dpn	the Glomman
ond	ond	conj	and
mid	mid	prep	with
Rumwalum.	Rumwalas	dpn	Rome-foreigners
Swylce	swylce	adv	likewise
ic	ic	pn	I
wæs	wesan	psv	was
on	on	prep	in
Eatule	Eatul	dsn	Italy
mid	mid	prep	with
Ælfwine,	Ælfwine	dsn	Ælfwine
se	se	dem.pn	that
hæfde	habban	pret.sv	had
moncynnes,	moncynn	gsn	mankind
mīne	mīn	adj	my
gefrǣge,	gefrǣge	isn	information (got by inquiry).
lēohteste	lēoht	adj	lightest
hond	hond	asn	hand
lofes	lof	gsn	praise
to	to	prep	to
wyrcenne,	wyrcan	dsn	earning
heortan	heorte	asn	heart
unhnēaweste	unhnēaw	adj	generous
hringa	hring	gpn	rings
gedāles,	gedāl	gsn	distributed
beorhtra	beorht	gpadj	bright
bēaga,	bēag	gpn	treasures
bearn	bearn	nsn	child
Eadwines.	Eadwine	asn	of Edwin
Mid	mid	prep	with
Sercingum	Sercingas	dpn	the Sercings
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Seringum;	Seringas	dpn	the Serae
mid	mid	prep	with
Creacum	Creacas	ipn	the Greeks
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Finnum	Finnas	ipn	the Finns
ond	ond	conj	and
mid	mid	prep	with
Casere,	Casere	dsn	Caesar
se	se	dem.pn	that
þe	þe	in	who
wīnburga	wīnburg	gpn	wine-borough
geweald	geweald	asn	authority
āhte,	āgan	pret.sv	possesed
wiolena	wiola	gpn	riches
ond	ond	conj	and
wilna,	willa	gpn	desirable things
ond	ond	conj	and
Wala	Walas	gpn	of the Romans
rīces.	rīce	gsn	realm
mid	mid	prep	with
Scottum	Scottas	dpn	the Irish
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Peohtum	Peohtas	dpn	the Picts
ond	ond	conj	and
mid	mid	prep	with
Scridefinnum;	Scridefinnas	dpn	The Lapps
mid	mid	prep	with
Lidwicingum	Lidwicingas	dpn	the Lidwiccas
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Leonum	Leonas	dpn	the Leonas
ond	ond	conj	and
mid	mid	prep	with
Longbeardum,	Longbeardan	dpn	The Langobards
mid	mid	prep	with
hæðnum	hæþen	dpn	heathens
ond	ond	conj	and
mid	mid	prep	with
hæleþum	hæleþ	dpn	heroes
ond	ond	conj	and
mid	mid	prep	with
Hundingum.	Hundingas	dpn	the Hundings
mid	mid	prep	with
Israhelum	Israhelas	dpn	the Israelites
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Exsyringum,	Exsyringas	dpn	the Assyrians
mid	mid	prep	with
Ebreum	Ebreas	dpn	the Hebrews
ond	ond	conj	and
mid	mid	prep	with
Indeum	Indeas	dpn	THe Hindus
ond	ond	conj	and
mid	mid	prep	with
Egyptum.	Egypte	dpn	the Egyptians
mid	mid	prep	with
Moidum	Moide	dpn	the Moids
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Persum	Perse	dpn	the Perse
ond	ond	conj	and
mid	mid	prep	with
Myrgingum,	Myrgingas	dpn	the Myrgings
ond	ond	conj	and
Mofdingum	Mofdingas	dpn	Mofdings
ond	ond	conj	and
Ongendmyrgingum	Ongendmyrgingas	dpn	the Ongendmyrgings
ond	ond	conj	and
mid	mid	prep	with
Amoþingum.	Amoþingas	dpn	the Amothings
mid	mid	prep	with
Eastþyringum	Eastþyringas	dpn	Thuringians
ic	ic	pn	I
wæs	wesan	psv	was
ond	ond	conj	and
mid	mid	prep	with
Eolum	Ilwan	dpn	the Ilwan
ond	ond	conj	and
mid	mid	prep	with
Istum	Iste	dpn	the Austrogoths
ond	ond	conj	and
Idumingum.	Idumingas	dpn	Idumings
ond	ond	conj	and
ic	ic	pn	I
wæs	wesan	psv	was
mid	mid	prep	with
Eormanrīce	Eormanrīc	dsn	Ermanric
ealle	eal	asn	all
þrāge,	þrāg	asn	time
þǣr	þǣr	adv	there
me	me	dsppn	me
Gotena	Gotan	gpn	the Goths
cyning	cyning	nsn	king
gōde	gōd	isn	good
dohte;	dugan	pret.sv	was generous
se	se	dem.pn	that
me	me	dsppn	me
bēag	bēag	asn	treasure
forgeaf	forgiefan	pret.sv	gave
burgwarena	burgwaran	gpn	townspeople
fruma,	fruma	n	first among
on	on	prep	in
þām	sē	dspn	that
siex	siex	num	six
hund	hund	num	hundred
wæs	wesan	psv	was
smǣtes	smǣte	adj	refined
goldes,	gold	gsn	gold
gescyred	gescyrian	ppv	reckoned
sceatta	sceatt	gpn	denarii
scillingrīme;	scillingrīm	dsn	shilling count
þone	sē	aspn	that
ic	ic	pn	I
Eadgilse	Eadgils	dsn	Eadgils
on	on	prep	in
ǣht	ǣht	asn	possession
sealde,	syllan	pret.sv	gave
mīnum	mīn	adj	my
hlēodryhtne,	hlēodryhten	dsn	lord protector
þā	þā	conj	when
ic	ic	pn	I
to	to	prep	to
ham	ham	asn	home
bicwom,	bicuman	pret.sv	came
lēofum	lēof	adj	dear
to	to	prep	to
lēane,	lēan	dsn	reward
þæs	þæs	conj	because
þe	þe	in	who
hē	hē	nsppn	he
me	me	dsppn	me
lond	longd	asn	land
forgeaf	forgiefan	pret.sv	gave up
mīnes	mīn	adj	my
fæder	fæder	gsn	father's
ēþel,	ēþel	asn	inherited land
frēa	frēa	n	king
Myrginga.	Myrgingas	gpn	of the Myrgings
ond	ond	conj	and
me	me	dsppn	me
þā	þā	adv	then
Ealhhild	Ealhhilde	nsn	Ealhhild
ōþerne	ōþer	num	second
forgeaf	forgiefan	pret.sv	gave
dryhtcwēn	dryhtcwēn	n	queen of the army
duguþe,	duguþ	gsn	a body of royal fighting men
dohtor	dohtor	n	daughter
Eadwines.	Eadwine	gsn	of Edwin
Hyre	hē	gsn	her
lof	lof	asn	praise
lengde	lengan	pret.sv	stretched
geond	geond	prep	throughout
londa	lond	gpn	lands
fela,	fela	adj	many
þonne	þonne	conj	when
ic	ic	pn	I
be	bī	prep	with
songe	song	dsn	song
secgan	secgan	v	say
sceolde	sculan	pret.sv	would
hwær	hwær	adv	where
ic	ic	pn	I
under	under	prep	under
swegle	swegl	dsn	sky
sēlast	sēl	adj	best
wisse	witan	pret.sv	knew
goldhrodene	goldhroden	adj	gold-adorned
cwēn	cwēn	asn	queen
giefe	giefu	apn	gifts
bryttian.	bryttian	v	distribute
Ðonne	þonne	conj	then
wit	wit	pn	we two
Scilling	Scilling	nsn	Scilling
scīran	scīr	adj	clear
reorde	reord	gsn	voice
for	for	prep	before
