Lemma	Form	POS	Line	Gloss
sum	sumne	aspn	138	some one
Suþ-dene	Suþ-denum.	dpn	58	the south-Danes
swā	swā	conj	44	as
swā	Swā	conj	50	as
swā	Swā	adv	131	thus
swā	Swā	conj	135	as
Swæfe	Swæfum,	dpn	22	Swæfe
Swæfe	Swæfe,	asn	44	the Suebi
Swæfe	Swæfum	dpn	61	Swæfe
swegl	swegle	dsn	101	sky
Sweon	Sweom	dpn	31	Swedes
Sweon	Sweom	dpn	58	Swedes
sweord	sweorde	isn	41	sword
sweord	sweordum	ipn	120	swords
Sweordwere	Sweordwerum.	dpn	62	Suardones
swinsian	swinsade,	pret.sv	105	sing out
swylce	Swylce	adv	70	likewise
Sycga	Sycgum	dpn	62	the Sycgans
Sycgan	Sycgum,	dpn	31	Sycgan
syllan	sealde,	pret.sv	93	gave
syllan	syleð	pres.sv	133	give
to	to	prep	67	to
to	to	prep	72	to
to	to	prep	94	to
to	to	prep	95	to
to	to	prep	134	to
uncer	uncrum	adj	104	our two
under	under	prep	101	under
under	under	prep	143	under
unhnēaw	unhnēaweste	adj	73	generous
unhnēaw	unhnēawne,	adj	139	generous
Unwen	Unwenes.	gsm	114	of Unwen
Wada	Wada	nsn	22	Wada
wæcnan	onwocon.	pret.pv	5	awoke
wærloga	wærlogan.	dpn	9	oath-breaker
Wærne	Wærnum	dpn	59	the Varni
Walas	Wala	gpn	78	Roman's
Wald	Wald	nsn	30	Wald
wealdan	wealdan!	pret.sv	10	rule
wealdan	weold	psv	18	ruled
wealdan	weold	psv	20	ruled
wealdan	weold	psv	22	ruled
wealdan	weold	psv	24	ruled
wealdan	weold	psv	26	ruled
wealdan	weold,	psv	28	ruled
wealdan	weold	psv	35	ruled
wealdan	weold	ppv	129	ruled
wēl	wēl	adv	107	well
Wenlas	Wenlum	dpn	59	Wenlas
wer	werum	ipn	130	men
wergan	wergan	v	121	defend
Wern	Wernum.	dpn	25	the Werns
wesan	wæs	psv	14	was
wesan	wæs	psv	34	was
wesan	wæs	psv	36	was
wesan	wæs	psv	57	was
wesan	wæs	psv	59	was
wesan	wæs	psv	60	was
wesan	wæs	psv	61	was
wesan	wæs	psv	62	was
wesan	wæs	psv	63	was
wesan	wæs	psv	64	was
wesan	Næs	psv	67	was not
wesan	wæs	psv	68	was
wesan	wæs	psv	69	was
wesan	wæs	psv	70	was
wesan	wæs	psv	75	was
wesan	wæs	psv	76	was
wesan	wæs	psv	79	was
wesan	wæs	psv	80	was
wesan	wæs	psv	82	was
wesan	wæs	psv	84	was
wesan	wæs	psv	86	was
wesan	wæs	psv	88	was
wesan	wæs	psv	91	was
wesan	wæs	psv	111	were
wesan	wæran	ppv	125	were
wicingas	wicinga	gpn	47	the Wicing
Wicingas	wicingum.	dpn	59	the Wicings
wið	wið	prep	42	against
wīde	wīde.	adv	53	widely
Widsið	Widsið	nsn	1	Widsith
wīf	wīfum,	ipn	130	women
wig	wig	nsn	119	warfare
willa	wilna,	gpn	78	desirable things
willan	wile.	pret.sv	13	will
willan	wile	pres.sv	140	will
wīnburg	wīnburga	gpn	77	wine-borough
windan	wundnan	past participle v	129	wound
Winedas	Winedum	dpn	60	Winedas
wiola	wiolena	gpn	78	riches
Wistlawudu	Wistlawudu	gpn	121	The Wistle wood
wit	wit	pn	103	we two
witan	wisse	pret.sv	101	knew
Witta	Witta	nsn	22	Witta
Wiþergield	Wiþergield	asn	124	Wiþergield
Wiþmyrgingas	Wiþmyrginga.	gpn	118	the Wiþmyrgings
